Код товара,Название,Количество штук на складе,Цена за единицу,Описание товара
4606483860012,Электрический чайник "Moon",678,2500,Электрический чайник с несколькими режимами
4606483860013,Микроволновая печь "QuickHeat",320,8500,Микроволновая печь с грилем и несколькими режимами
4606483860014,Электрическая плита "ChefMaster",150,12000,Электрическая плита с индукционным нагревом
4606483860015,Пылесос "CleanPro",220,5000,Мощный пылесос с циклонной системой фильтрации
4606483860016,Холодильник "CoolMax",85,35000,Энергоэффективный холодильник
4606483860017,Стиральная машина "WashEasy",75,27000,Стиральная машина с функцией отложенного старта
4606483860018,Электрическая мясорубка "MeatGrind",400,4000,Электрическая мясорубка с насадками для колбасы
4606483860019,Фен для волос "StylePro",300,1500,Фен с несколькими температурными режимами и ионизацией
4606483860020,Электрическая бритва "SmoothShave",250,2000,Бритва с плавающими головками и водонепроницаемым корпусом
4606483860021,Утюг "SteamMaster",180,3500,Утюг с парогенератором и керамической подошвой
4606483860022,Кофеварка "CoffeeTime",200,4500,Кофеварка с функцией капельного заваривания и таймером
4606483860023,Тостер "ToastPerfect",150,2000,Тостер с регулировкой степени поджаривания
4606483860024,Электрическая плитка "HotPlate",90,3000,Компактная электрическая плитка для быстрого приготовления
4606483860025,Соковыжималка "JuiceFresh",120,5000,Соковыжималка с высокой производительностью и простым уходом
4606483860026,Робот-пылесос "AutoClean",60,25000,Робот-пылесос с функцией уборки по расписанию
4606483860027,Кухонный комбайн "MultiChef",45,15000,Комбайн с множеством насадок для различных задач на кухне
4606483860028,Электрическая гриль-сковорода "GrillMaster",80,7000,Сковорода с антипригарным покрытием и регулируемой температурой
4606483860029,Водонагреватель "HotWater",30,22000,Водонагреватель с быстрым нагревом и защитой от перегрева
4606483860030,Электрическая щетка для зубов "CleanTeeth",250,1200,Щетка с режимами чистки и встроенным таймером
4606483860031,Краскопульт "PaintEasy",90,3500,Краскопульт для равномерного нанесения краски на поверхность
4606483860032,Настольная лампа "LightPro",200,1800,Настольная лампа с регулировкой яркости и цветовой температуры
4606483860033,Электрический обогреватель "WarmHome",100,5000,Обогреватель с термостатом и защитой от перегрева
4606483860034,Стиральная машина-автомат "EcoWash",70,32000,Стиральная машина с высоким классом энергоэффективности
4606483860035,Электрическая зубная нить "FlossEasy",120,800,Зубная нить с автоматическим механизмом подачи
4606483860036,Блендер "SmoothieMaker",150,3000,Блендер с мощным мотором и функцией дробления льда
4606483860037,Электрический обрезчик для овощей "VeggieCut",80,2000,Овощерезка с несколькими насадками для нарезки
4606483860038,Система умного дома "SmartHome",50,50000,Комплексное решение для управления бытовыми приборами через смартфон
4606483860039,Электрическая плита-гриль "GrillCook",40,6000,Плита-гриль с антипригарным покрытием и терморегулятором
4606483860040,Мультиварка "CookSmart",90,8000,Мультиварка с множеством программ приготовления и функцией автоподогрева
4606483860041,Электрический вентилятор "CoolBreeze",150,2500,Вентилятор с несколькими скоростями и поворотной головой